,0
1029,20.5293
1030,33.7051
1031,44.0265
1032,10.7183
1033,8.58223
1034,18.7335
1035,18.2
1036,13.2
1037,13.0
1038,28.2
1039,24.4
1040,28.8
1041,26.8
1042,31.6
1043,82.4
1044,39.4
1045,22.0
1046,27.8
1047,36.4
1048,56.0
1049,70.7
1050,29.5
1051,33.9
1052,45.6
1053,55.2
1054,22.7
1055,26.5
1056,43.9
1057,71.8
1058,113.5
1059,60.1
1060,67.6
1061,20.6
1062,15.3
1063,23.8
1064,36.1
1065,14.99
1066,13.5
1067,23.16
1068,71.08
1069,117.22
1070,54.86
1071,61.51
1072,53.83
1073,27.34
1074,17.76
1075,12.88
1076,11.37
1077,56.39
1078,57.69
1079,26.54
1080,86.79
1081,115.56
1082,68.8
1083,73.99
1084,67.25
1085,107.78
1086,75.97
1087,55.32
1088,47.4
1089,14.7
1090,10.2
1091,8.0
1092,11.68
1093,34.28
1094,99.16
1095,125.26
1096,125.4
1097,70.8
1098,
1099,
1100,18.4
1101,24.8
1102,133.9
1103,185.5
1104,139.0
1105,
1106,
1107,40.2
1108,20.6
1109,28.7
1110,32.5
1111,50.5
1112,70.1
1113,27.5
1114,86.8
1115,146.2
1116,96.0
1117,55.2
1118,141.1
1119,95.0
1120,136.4
1121,113.4
1122,222.8
1123,246.5
1124,160.7
1125,279.3
1126,159.1
1127,149.91
1128,144.35
1129,130.07
1130,33.32
1131,85.72
1132,60.75
1133,34.68
1134,27.92
1135,37.34
1136,41.73
1137,45.81
1138,38.69
1139,47.14
1140,139.22
1141,176.78
1142,140.18
1143,110.62
1144,76.19
1145,54.97
1146,35.94
1147,9.96
1148,10.24
1149,8.94
1150,7.67
1151,25.46
1152,
1153,
1154,21.02
1155,15.54
1156,9.47
1157,35.9
1158,21.91
1159,12.9
1160,20.11
1161,35.83
1162,39.2
1163,57.98
1164,40.6
1165,27.69
1166,23.57
1167,42.88
1168,91.48
1169,61.71
1170,33.22
1171,32.71
1172,11.82
1173,10.51
1174,20.05
1175,37.05
1176,42.19
1177,19.53
1178,54.54
1179,47.45
1180,24.43
1181,51.88
1182,53.1
1183,41.11
1184,40.07
1185,44.95
1186,46.67
1187,49.22
1188,45.43
1189,36.23
1190,48.91
1191,18.11
1192,21.24
1193,19.8
1194,39.05
1195,30.46
1196,21.11
1197,20.93
1198,16.38
1199,27.58
1200,30.49
1201,20.4
1202,15.3
1203,14.46
1204,9.38
1205,17.43
1206,38.52
